Time,Time Code,Country Name,Country Code,Labor force total,Population,GDP per capita,Energy intensity level,Renewable energy consumption,Fossil fuel energy consumption,CO2 emissions
2017,YR2017,Philippines,PHL,42626395,105172921,3123.24564174356,2.89,27.68,..,133500
2017,YR2017,Poland,POL,18243916,37974826,13864.6817579973,3.81,11.12,..,312859.985351563
2017,YR2017,Portugal,PRT,5243047,10300300,21490.429863104,2.8,24.42,..,53330.0018310547
2017,YR2017,Puerto Rico,PRI,1110932,3325286,31108.7605697675,0.42,2.26,..,..
2017,YR2017,Qatar,QAT,2077316,2724727,59124.8672675489,6.8,0.07,..,87540.0009155273
2017,YR2017,Romania,ROU,9099360,19588715,10807.0091671993,2.61,23.35,..,74209.9990844727
2017,YR2017,Russian Federation,RUS,74694581,144496739,10720.3330078125,7.99,3.25,..,1594550.04882813
2017,YR2017,Rwanda,RWA,5988412,11980960,772.294884583004,4.28,85.98,..,1190.00005722046
2017,YR2017,Samoa,WSM,52036,195358,4258.97867546454,4.17,35.79,..,310.000002384186
2017,YR2017,San Marino,SMR,..,33671,45399.0289841537,..,..,..,..
2017,YR2017,Sao Tome and Principe,STP,64632,207086,1813.80743359704,3.55,38.42,..,140.000000596046
2017,YR2017,Saudi Arabia,SAU,13587282,33101183,20802.4617855102,5.85,0.02,..,545070.007324219
2017,YR2017,Senegal,SEN,3975776,15419354,1361.70197218375,3.65,37.93,..,9800.00019073486
2017,YR2017,Serbia,SRB,3189489,7020858,6292.54362926707,5.61,20,..,47340.0001525879
2017,YR2017,Seychelles,SYC,..,95843,16416.726074108,3.06,1.25,..,579.999983310699
2017,YR2017,Sierra Leone,SLE,2491501,7488427,496.682294873131,5.68,74.61,..,939.999997615814
2017,YR2017,Singapore,SGP,3497085,5612253,61150.7271966595,2.8,0.67,..,49139.9993896484
2017,YR2017,Sint Maarten (Dutch part),SXM,..,40574,29369.0568278169,8.49,0.05,..,..
2017,YR2017,Slovak Republic,SVK,2760684,5439232,17538.048584386,4.45,12.43,..,33580.0018310547
2017,YR2017,Slovenia,SVN,1027464,2066388,23514.0254604147,3.88,19.71,..,14119.9998855591
2017,YR2017,Solomon Islands,SLB,326052,636030,2332.89855519863,4.4,48.98,..,349.999994039536
2017,YR2017,Somalia,SOM,2651164,14589165,384.463401435243,11.73,94.9,..,660.000026226044
2017,YR2017,South Africa,ZAF,22360602,57009751,6690.93984735096,7.86,10.45,..,435649.993896484
2017,YR2017,South Sudan,SSD,4663143,10910774,..,..,28.63,..,1519.99998092651
2017,YR2017,Spain,ESP,23094352,46593236,28170.1678643302,2.86,15.71,..,263450.012207031
2017,YR2017,Sri Lanka,LKA,8751857,21444000,4077.04384087488,1.81,49.33,..,23360.0006103516
2017,YR2017,St. Kitts and Nevis,KNA,..,52036,20382.7798703462,2.63,1.6,..,239.999994635582
2017,YR2017,St. Lucia,LCA,103128,180955,11034.6298291881,2.95,10.22,..,529.999971389771
2017,YR2017,St. Martin (French part),MAF,..,36569,..,..,..,..,..
2017,YR2017,St. Vincent and the Grenadines,VCT,54747,109826,7717.8465459734,2.41,5.29,..,230.000004172325
2017,YR2017,Sudan,SDN,11890988,40813398,3178.31420898438,4.5,60.47,..,20959.9990844727
2017,YR2017,Suriname,SUR,232429,570501,6295.56056173578,3.91,14.96,..,2500
2017,YR2017,Sweden,SWE,5337330,10057698,53791.5087298403,3.97,51.81,..,38290.0009155273
2017,YR2017,Switzerland,CHE,4924149,8451840,83352.0886533412,1.7,24.99,..,38700.0007629395
2017,YR2017,Syrian Arab Republic,SYR,5132859,17095669,955.836559044092,12.7,0.85,..,29340.0001525879
2017,YR2017,Tajikistan,TJK,2360549,8880270,848.672379903239,4.7,41.69,..,7369.99988555908
2017,YR2017,Tanzania,TZA,25539231,54660345,1004.90661621094,6.74,84.92,..,11829.9999237061
2017,YR2017,Thailand,THA,38609507,69209817,6593.81835157138,4.79,22.25,..,258820.007324219
2017,YR2017,Timor-Leste,TLS,515795,1243260,1299.49463507231,2.24,13.21,..,610.000014305115
2017,YR2017,Togo,TGO,2609095,7698476,830.745276651438,8.26,77.73,..,2069.9999332428
2017,YR2017,Tonga,TON,30936,102002,4513.4325306349,2.84,1.96,..,180.000007152557
2017,YR2017,Trinidad and Tobago,TTO,650760,1384060,16747.9067034094,19.21,0.42,..,18250
2017,YR2017,Tunisia,TUN,4076291,11433438,3687.78031640101,3.92,11.82,..,29959.9990844727
2017,YR2017,Turkiye,TUR,32114851,81116451,10589.667724687,2.71,11.4,..,415899.993896484
2017,YR2017,Turkmenistan,TKM,1860370,5757667,6587.09260439788,14.13,0.06,..,73120.002746582
2017,YR2017,Turks and Caicos Islands,TCA,..,37116,27545.1287854295,5.09,0.32,..,..
2017,YR2017,Tuvalu,TUV,..,11365,3978.67645214273,2.55,8.74,..,9.99999977648258
2017,YR2017,Uganda,UGA,15134634,41166588,746.830752928351,10.3,90.76,..,5170.00007629395
2017,YR2017,Ukraine,UKR,21297839,44831135,2638.326171875,7.42,6.48,..,174940.002441406
2017,YR2017,United Arab Emirates,ARE,6551369,9487206,40644.7911908818,4.54,0.19,..,197039.993286133
2017,YR2017,United Kingdom,GBR,34228936,66058859,40857.7555829627,2.45,9.7,..,367000
2017,YR2017,United States,USA,163395307,325122128,59914.777796976,4.62,9.92,..,4819370.1171875
2017,YR2017,Uruguay,URY,1745467,3436645,18690.8938401411,2.71,60.82,..,6099.99990463257
2017,YR2017,Uzbekistan,UZB,13839057,32388600,1916.76464246779,7.88,1.75,..,109529.998779297
2017,YR2017,Vanuatu,VUT,121011,285499,3082.54005458882,3.33,36.13,..,170.000001788139
2017,YR2017,Venezuela,VEN,12606669,29402480,..,..,14.31,..,140820.007324219
2017,YR2017,Vietnam,VNM,55384734,94600643,2974.11722851858,4.38,25.02,..,230449.996948242
2017,YR2017,Virgin Islands (U.S.),VIR,49729,107281,35365.0693039774,..,3.46,..,..
2017,YR2017,West Bank and Gaza,PSE,1190520,4454805,3620.36048715937,2.68,10.51,..,..
2017,YR2017,Yemen Rep.,YEM,6163987,27834811,964.340343636774,..,2.8,..,10010.0002288818
2017,YR2017,Zambia,ZMB,6833139,16853608,1535.19657398198,7.44,81.89,..,6809.99994277954
2017,YR2017,Zimbabwe,ZWE,6909356,14236599,1235.18903192064,9.51,82.46,..,10340.0001525879
